X,Y,name,elevation
-74.0693389221,4.6040263219,248 Las Nieves,
-74.0746391694,4.6090991888,096 La Alameda,
-74.073168529,4.6108315957,097 La Alameda,
-74.0705094924,4.6151699977,240 Edificio Bavaria,
-74.069209684,4.6166506749,239 Parque Central Bavaria,
-74.069038852,4.6189309118,140 San Martín,
-74.0714899193,4.6212555614,184 Federación Colombiana de Fútbol,
-74.0605672731,4.668343828,722 Estación Héroes,2576.764996685
-74.0621307611,4.6639188495,627 San Felipe,2583.6381344146
-74.0631515604,4.6623139189,628 San Felipe,2588.7818225151
-74.0660015489,4.6624454976,002 San Felipe,2583.687981162
-74.072615699,4.5900777076,416 Belén,2693.3
-74.072674938,4.589546992,415 Lourdes II,2677.6
-74.0749047626,4.5897736627,413 Hospital centro oriente Lourdes,2657.1
-74.0777544239,4.5900502544,412 Santa Bárbara,2641.9
-74.0814445749,4.5924453198,717,2628.5
-74.0842164415,4.5965114144,064 San Bernardo,2612
-74.0868499517,4.5980605286,060 La Estanzuela,2596.9
-74.0932968454,4.5981296395,202 El Vergel,2598.9
-74.0957254022,4.5997604162,030 El Vergel,2594.8
-74.098491226,4.601696902,031 Santa Isabel,2593.1
-74.0577629521,4.6858593768,NZJ,2526.8
-74.0587861559,4.6801272019,NZK,2593.5
-74.1010496579,4.5987543091,418 Santa Isabel sur,2597.5
-74.1032106802,4.6004599154,415 JAC Santa Isabel,2592
-74.103706403,4.6004430587,128 Santa Isabel sur,2589.8
-74.1064017336,4.5984992406,346 Santa Isabel sur,2591.1
-74.1059974849,4.5977732472,122 Santa Isabel sur,2591.2
-74.104502359,4.5965913297,087 Santa Isabel sur,2593.5
-74.1015159432,4.5950890812,357 Santa Isabel sur,2595.2
-74.0962914008,4.5958525695,204 El Vergel,2602.2
-74.0982403334,4.5965519682,207 Santa Isabel sur,2601.7
-74.0998062026,4.5978084868,206 Santa Isabel sur,2602.8
-74.0999311951,4.6030615029,033 Veraguas,2589.2
-74.0969286952,4.6009226656,032 Veraguas,2599
-74.0937469248,4.5986853261,203 El Progreso,2601
-74.091176698,4.5974436309,437 La Estanzuela,2599.8
-74.0880622513,4.5941454436,438 Hopistal de la Misericordia,2607.1
-74.0900585233,4.5951331702,201 Eduardo Santos,2610.3
-74.0917094479,4.5960813546,434 Eduardo Santos,2607.7
-74.0979777271,4.594839049,358 El vergel,2599
-74.0931475899,4.5934349108,359 Eduardo Santos,2608.8
-74.0910928056,4.5928037263,360 Eduardo Santos,2609.6
-74.08800963,4.5915228423,012 San Bernardo,2610.9
-74.0780267571,4.6295488613,514 La Soledad,2595
-74.0771898869,4.6273880602,512 Iglesia San Alfonso,2600.4
-74.0522877673,4.6837205042,293 Chicó III sector,2579.5
-74.0503088851,4.6853875069,213 Chicó norte III sector,2586.9
-74.0527786966,4.6857952671,212 Centro empresarial cl 100,2580.4
-74.0540250856,4.6860024903,167 Auto Norte,2578.1
-74.0788344006,4.6318207476,513 la soledad,2583
-74.0766983943,4.6342895513,274 Col el Carmelo,2589.7
-74.0730510838,4.6336340904,078 Palermo,2592.1
-74.0712723602,4.6332864929,086 Palermo,2596.7
-74.0694534872,4.6329704951,276 Palermo,2600.9
-74.0683170687,4.6327610314,084 Estación cl 45,2603.2
-74.0684183876,4.6325008401,083 Estación cl 45,2596.2
-74.0695721749,4.6327432562,076 Santa Teresita,2593.8
-74.0724091047,4.6332688568,085 Santa Teresita,2591.8
-74.0747736396,4.6336840869,077 Santa Teresita,2590.7
-74.0766373558,4.6338924857,275 Col el Carmelo,2590
-74.0782666301,4.6342107446,273 La Soledad,2588.2
-74.0759336203,4.6232969826,517 Teusaquillo,2600.7
-74.0801569798,4.6239657279,132 Torre de las Américas,2596.5
-74.100306262,4.6009610109,420 Santa Isabel,
-74.1013520507,4.6023114156,692,
-74.0946660293,4.6054713826,010  IED Ricaurte,2593.1
-74.0966349253,4.6027741058,NZB,2595.3
-74.0976295533,4.6017866427,323 Veraguas,2595.4
-74.0972027835,4.5976004982,NZA,2595.9
-74.0932749948,4.6120182589,93,2592.2
-74.071495235,4.6664761053,095 Sede comunal Once de Noviembre,2571.5
-74.0701792762,4.6655074926,004 Av Chile,2574
-74.0651366027,4.6495411344,054 Estación cl 63,2598.8
-74.0669494774,4.6498872962,014 Centro Johannes Kepler,2590.6
-74.0687483177,4.6447312692,265 Pq el Divino Salvador,2593
-74.0667820253,4.6443983069,263 IED Manuela Beltrán,2596.2
-74.0649667854,4.6437793409,638 Av Aaracas,2598.6
-74.06714742,4.6441539988,264 IED Manuela Beltrán,2593.4
-74.0690567717,4.6445025801,266 Parroquia el Divino Dalvador,2590.6
-74.0760738496,4.645558605,271 Estadio Nemesio Camacho el Campín,2577
-74.07464155,4.6457218844,270 San Luis,2578.7
-74.0729627386,4.6454277216,268 San Luis,2580.7
-74.0706938412,4.6450736104,267 San Luis,2580.9
-74.0747808572,4.6077381587,249 La Alameda,2626.2
-74.086109167,4.616526165,067 CC Calima,2593.8
