stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
207,261,Quesada   ,261A00 Quesada   ,-74.0677639429,4.6404973134,0,,0,,co,0
208,262,Quesada   ,262A00 Quesada   ,-74.0656539705,4.640179812,0,,0,,co,0
209,263,IED Manuela Beltrán ,263A00 IED Manuela Beltrán ,-74.0667820253,4.6443983069,0,,0,,co,0
210,264,IED Manuela Beltrán ,264A00 IED Manuela Beltrán ,-74.06714742,4.6441539988,0,,0,,co,0
211,265,Pq el Divino Salvador,265A00 Pq el Divino Salvador,-74.0687483177,4.6447312692,0,,0,,co,0
212,266,Parroquia el Divino Dalvador,266A00 Parroquia el Divino Dalvador,-74.0690567717,4.6445025801,0,,0,,co,0
213,267,San Luis  ,267A00 San Luis  ,-74.0706938412,4.6450736104,0,,0,,co,0
214,268,San Luis  ,268A00 San Luis  ,-74.0729627386,4.6454277216,0,,0,,co,0
215,270,San Luis  ,270A00 San Luis  ,-74.07464155,4.6457218844,0,,0,,co,0
216,271,Estadio Nemesio Camacho el,271A00 Estadio Nemesio Camacho el,-74.0760738496,4.645558605,0,,0,,co,0
217,273,La Soledad  ,273A00 La Soledad  ,-74.0782666301,4.6342107446,0,,0,,co,0
218,274,Col el Carmelo ,274A00 Col el Carmelo ,-74.0766983943,4.6342895513,0,,0,,co,0
219,275,Col el Carmelo ,275A00 Col el Carmelo ,-74.0766373558,4.6338924857,0,,0,,co,0
220,276,Palermo   ,276A00 Palermo   ,-74.0694534872,4.6329704951,0,,0,,co,0
221,277,Marly   ,277A00 Marly   ,-74.0667722326,4.6324724562,0,,0,,co,0
222,278,Sucre   ,278A00 Sucre   ,-74.066839972,4.6322066635,0,,0,,co,0
223,279,Cl 67  ,279A00 Cl 67  ,-74.0594090901,4.6519903085,0,,0,,co,0
224,281,CC La Cabrera ,281A00 CC La Cabrera ,-74.0519429371,4.6680343011,0,,0,,co,0
225,284,Cra 14  ,284A00 Cra 14  ,-74.0501698737,4.6789830266,0,,0,,co,0
226,285,Chicó norte  ,285A00 Chicó norte  ,-74.0474953918,4.6775767452,0,,0,,co,0
227,286,Chicó norte  ,286A00 Chicó norte  ,-74.0468492178,4.6777775007,0,,0,,co,0
228,290,Hotel Dann Carlton ,290A00 Hotel Dann Carlton ,-74.0540413753,4.6819101164,0,,0,,co,0
229,292,Chicó norte III sector,292A00 Chicó norte III sector,-74.0524651506,4.6845357539,0,,0,,co,0
230,293,Chicó III sector ,293A00 Chicó III sector ,-74.0522877673,4.6837205042,0,,0,,co,0
231,294,El Retiro  ,294A00 El Retiro  ,-74.0507292375,4.6655212808,0,,0,,co,0
232,295,CC Andino  ,295A00 CC Andino  ,-74.0528132222,4.6673935233,0,,0,,co,0
233,296,Pq Leon de Greiff,296A00 Pq Leon de Greiff,-74.0543140098,4.6688717371,0,,0,,co,0
234,297,Embajada de Inglaterra ,297A00 Embajada de Inglaterra ,-74.0558520891,4.6608147584,0,,0,,co,0
235,298,Embajada de Paz de,298A00 Embajada de Paz de,-74.0574370231,4.6618586825,0,,0,,co,0
236,300,U Sergio Arboleda ,300A00 U Sergio Arboleda ,-74.0599220227,4.6613817349,0,,0,,co,0
237,301,Br Porciuncula  ,301A00 Br Porciuncula  ,-74.0592538467,4.6623443577,0,,0,,co,0
238,302,CC Unilago  ,302A00 CC Unilago  ,-74.0583075771,4.6641440546,0,,0,,co,0
239,303,CC Atlantis Plaza ,303A00 CC Atlantis Plaza ,-74.0572145135,4.6660041249,0,,0,,co,0
240,304,Cl del Country ,304A00 Cl del Country ,-74.0556092813,4.6690159418,0,,0,,co,0
241,305,CC Artelana  ,305A00 CC Artelana  ,-74.0549845184,4.6703542982,0,,0,,co,0
242,306,Pq del Virrey ,306A00 Pq del Virrey ,-74.0541655797,4.6721589093,0,,0,,co,0
243,307,CADE chico  ,307A00 CADE chico  ,-74.0534625818,4.6734736773,0,,0,,co,0
244,308,CC La Plazuela ,308A00 CC La Plazuela ,-74.0526470675,4.6751685461,0,,0,,co,0
245,309,CC Centro 93 ,309A00 CC Centro 93 ,-74.0515037023,4.6773884561,0,,0,,co,0
246,310,Cámara de Comercio sede,310A00 Cámara de Comercio sede,-74.0511046929,4.6782163584,0,,0,,co,0
247,311,Chicó nte 2o sector,311A00 Chicó nte 2o sector,-74.049639327,4.6810013897,0,,0,,co,0
248,312,Chicó nte 2o sector,312A00 Chicó nte 2o sector,-74.0488441781,4.6825330149,0,,0,,co,0
249,314,U Pedagógica Nal ,314A00 U Pedagógica Nal ,-74.0590243114,4.6576048553,0,,0,,co,0
250,315,CC Avenida Chile ,315A00 CC Avenida Chile ,-74.0580129464,4.6568525135,0,,0,,co,0
251,316,Cr 8  ,316A00 Cr 8  ,-74.056234723,4.6556760231,0,,0,,co,0
252,317,Colombia   ,317A00 Colombia   ,-74.063735895,4.6604551591,0,,0,,co,0
253,318,El Nogal  ,318A00 El Nogal  ,-74.0517737216,4.6635059472,0,,0,,co,0
254,319,U Pedagógica Nal ,319A00 U Pedagógica Nal ,-74.0596178406,4.6575487165,0,,0,,co,0
255,320,CC Avenida Chile ,320A00 CC Avenida Chile ,-74.0581993571,4.6565669754,0,,0,,co,0
256,321,Estación Ricaurte  ,321A00 Estación Ricaurte  ,-74.0891521112,4.6123261779,0,,0,,co,0
257,322,Ricaurte   ,322A00 Ricaurte   ,-74.0923392714,4.6083942048,0,,0,,co,0
258,323,Veraguas   ,323A00 Veraguas   ,-74.0976295533,4.6017866427,0,,0,,co,0
259,324,Cenda   ,324A00 Cenda   ,-74.0718464382,4.6507083576,0,,0,,co,0
260,325,Br San Luis ,325A00 Br San Luis ,-74.068786491,4.6501994726,0,,0,,co,0
261,326,Av Caracas  ,326A00 Av Caracas  ,-74.0639020092,4.6554048189,0,,0,,co,0
262,327,   ,327A00    ,-74.0659984667,4.6566748107,0,,0,,co,0
263,328,Alcázares   ,328A00 Alcázares   ,-74.0703401459,4.659694088,0,,0,,co,0
264,329,   ,329A00    ,-74.0725999698,4.6612654952,0,,0,,co,0
265,330,Cementerio Chapinero  ,330A00 Cementerio Chapinero  ,-74.0740241743,4.6623413698,0,,0,,co,0
